num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
24,Mode.DLMT_DQ_F_TORQUE,6.251678590774536,1.988653898239136,18.060576915740967,18.060576915740967,53.38781499862671,0.003167979478836,0.0003313860893249,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,170,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
25,Mode.DLMT_DQ_F_TORQUE,6.668171739578247,2.107543706893921,10.020431876182556,10.020431876182556,102.62966561317444,0.0033143919706344,0.0003432555198669,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,318,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
26,Mode.DLMT_DQ_F_TORQUE,12.364174537658691,2.9981489181518555,22.92709350585937,22.92709350585937,84.64878916740417,0.003256539106369,0.0003426115512847,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,264,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
27,Mode.DLMT_DQ_F_TORQUE,7.582942543029785,2.1322312355041504,67.51372814178467,67.51372814178467,80.2948591709137,0.0037616208791732,0.0003810619115829,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,233,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
28,Mode.DLMT_DQ_F_TORQUE,5.8159814453125,1.964710712432861,-7.029141485691071,7.029141485691071,73.75313210487366,0.0036748369932174,0.0003734248876571,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,205,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
29,Mode.DLMT_DQ_F_TORQUE,8.057276134490968,2.401646614074707,4.513081535696983,4.513081535696983,99.29089546203612,0.0037177567481994,0.0003655248880386,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,277,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
30,Mode.DLMT_DQ_F_TORQUE,6.211952743530273,1.9892126321792605,26.628106832504272,26.628106832504272,59.61621022224426,0.0035840702056884,0.000351150393486,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,172,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
31,Mode.DLMT_DQ_F_TORQUE,6.1388105869293215,1.998979568481445,-9.472154080867767,9.472154080867767,89.56909155845642,0.0036859055757522,0.0003601249456405,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,249,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
32,Mode.DLMT_DQ_F_TORQUE,9.586743450164796,2.570164442062378,14.083904027938845,14.083904027938845,92.44112968444824,0.003662706375122,0.0003632159233093,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,261,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
33,Mode.DLMT_DQ_F_TORQUE,7.074114780426026,2.096588134765625,-1.4054001308977604,1.4054001308977604,68.61223244667053,0.0036459605693817,0.0003619092702865,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.0,True,198,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
34,Mode.DLMT_DQ_F_TORQUE,7.64568567276001,2.274684429168701,1.1565719731152058,1.1565719731152058,83.23547625541687,0.0035428030490875,0.0003502610921859,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.2,True,234,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
35,Mode.DLMT_DQ_F_TORQUE,7.8141184425354,2.327046155929565,9.344297647476196,9.344297647476196,129.21789574623108,0.0037319172620773,0.0003670517206192,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.5,True,361,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
36,Mode.DLMT_DQ_F_TORQUE,6.485710353851318,2.0531351566314697,18.5200035572052,18.5200035572052,61.75683283805847,0.0036000008583068,0.0003535311222076,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,179,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
37,Mode.DLMT_DQ_F_TORQUE,7.223120536804199,2.1248700618743896,-3.217102214694023,3.217102214694023,98.00658774375916,0.0036744832992553,0.0003587861061096,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,275,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
38,Mode.DLMT_DQ_F_TORQUE,7.349359951019287,2.259905338287353,-8.605097979307175,8.605097979307175,119.11877393722534,0.0036055328845977,0.0003579337596893,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.5,True,335,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
39,Mode.DLMT_DQ_F_TORQUE,6.253908882141113,2.004556179046631,-3.625071793794632,3.625071793794632,52.68381667137146,0.0037513507604599,0.0003725788593292,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,153,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
40,Mode.DLMT_DQ_F_TORQUE,6.820601453781128,2.0516610145568848,-0.6417400203645229,0.6417400203645229,114.28908586502077,0.0036103239059448,0.0003570346832275,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,321,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
41,Mode.DLMT_DQ_F_TORQUE,7.721041030883789,2.3137025833129883,-5.011779069900513,5.011779069900513,143.2569887638092,0.0035824228525161,0.0003637495040893,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,404,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
42,Mode.DLMT_DQ_F_TORQUE,8.13044189453125,2.273562431335449,32.237908244133,32.237908244133,95.6701681613922,0.0035950239896774,0.0003623292446136,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,282,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
43,Mode.DLMT_DQ_F_TORQUE,6.031086864471436,1.9865732192993164,-17.555798590183258,17.555798590183258,75.62521743774414,0.0036217095851898,0.0003646302223205,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,212,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
44,Mode.DLMT_DQ_F_TORQUE,7.486615238189697,2.279277801513672,12.82757818698883,12.82757818698883,87.0776584148407,0.0036070599555969,0.000368406176567,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.5,True,244,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
45,Mode.DLMT_DQ_F_TORQUE,6.783366451263428,2.0770039558410645,38.82274031639099,38.82274031639099,59.77574801445007,0.0035870614051818,0.0003682882785797,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.0,True,174,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
46,Mode.DLMT_DQ_F_TORQUE,7.240950355529785,2.157993793487549,-6.13866038620472,6.13866038620472,93.96270561218262,0.0035907933712005,0.000366732597351,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.2,True,265,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
